('Sahin Mersin', '2023-06-12', 'Morning:', '12:09', 'Lunch Exit:', '12:43', 'Lunch Enter:', '12:8', 'Exit:', '17:18', 'Total work: ', '5', 'hours')
('Sahin Mersin', '2023-06-13', 'Morning:', '08:13', 'Lunch Exit:', '13:22', 'Lunch Enter:', '12:49', 'Exit:', '20:09', 'Total work: ', '13', 'hours')
('Sahin Mersin', '2023-06-14', 'Morning:', '10:22', 'Lunch Exit:', '13:00', 'Lunch Enter:', '12:32', 'Exit:', '23:35', 'Total work: ', '14', 'hours')
('Sahin Mersin', '2023-06-15', 'Morning:', '08:32', 'Lunch Exit:', '12:44', 'Lunch Enter:', '13:30', 'Exit:', '18:22', 'Total work: ', '9', 'hours')
('Sahin Mersin', '2023-06-16', 'Morning:', '08:24', 'Lunch Exit:', '13:23', 'Lunch Enter:', '12:37', 'Exit:', '22:27', 'Total work: ', '15', 'hours')


('Sahin Mersin', '2023-06-19', 'Morning:', '08:59', 'Lunch Exit:', '13:10', 'Lunch Enter:', '13:18', 'Exit:', '21:14', 'Total work: ', '13', 'hours')
('Sahin Mersin', '2023-06-20', 'Morning:', '10:18', 'Lunch Exit:', '13:22', 'Lunch Enter:', '12:50', 'Exit:', '23:56', 'Total work: ', '14', 'hours')
('Sahin Mersin', '2023-06-21', 'Morning:', '08:33', 'Lunch Exit:', '13:19', 'Lunch Enter:', '13:10', 'Exit:', '23:47', 'Total work: ', '15', 'hours')
('Sahin Mersin', '2023-06-22', 'Morning:', '08:31', 'Lunch Exit:', '12:46', 'Lunch Enter:', '13:14', 'Exit:', '18:19', 'Total work: ', '9', 'hours')
('Sahin Mersin', '2023-06-23', 'Morning:', '12:33', 'Lunch Exit:', '13:45', 'Lunch Enter:', '12:51', 'Exit:', '21:40', 'Total work: ', '10', 'hours')
('Sahin Mersin', '2023-06-24', 'Morning:', '09:19', 'Lunch Exit:', '12:49', 'Lunch Enter:', '12:27', 'Exit:', '17:49', 'Total work: ', '8', 'hours')
('Sahin Mersin', '2023-06-25', 'Morning:', '09:17', 'Lunch Exit:', '12:28', 'Lunch Enter:', '13:59', 'Exit:', '22:57', 'Total work: ', '12', 'hours')
('Sahin Mersin', '2023-06-26', 'Morning:', '12:17', 'Lunch Exit:', '13:26', 'Lunch Enter:', '12:2', 'Exit:', '23:00', 'Total work: ', '12', 'hours')
('Sahin Mersin', '2023-06-27', 'Morning:', '09:19', 'Lunch Exit:', '13:34', 'Lunch Enter:', '12:32', 'Exit:', '22:32', 'Total work: ', '14', 'hours')
('Sahin Mersin', '2023-06-28', 'Morning:', '10:28', 'Lunch Exit:', '12:38', 'Lunch Enter:', '13:49', 'Exit:', '21:48', 'Total work: ', '10', 'hours')
